protocol,model,advantage_R2,CI95_lo,CI95_hi,bootstrap_replicates_used
V0_random,RF,0.5455114699912519,0.415935896818075,0.7024158738789957,2000
V0_random,XGB,0.5965838900212604,0.46948602206874807,0.7495768234654079,2000
V1_by_study,RF,0.12939025806642712,-0.056103166798208585,0.29575236004530503,2000
V1_by_study,XGB,0.031915545748141594,-0.19584111415759803,0.22871575375534767,2000
V2_by_alloy,RF,0.11661715255836036,-0.03286071571084523,0.24936046567566095,2000
V2_by_alloy,XGB,0.13245607231292378,-0.039177891982877175,0.30478530551311944,2000
