metric,estimate,CI95_lo,CI95_hi,bootstrap_replicates_used
macroF1,0.4243609720195148,0.35048697549677865,0.5143285246454622,2000
balanced_accuracy,0.4264674134456721,0.36833858248693524,0.5282814937511459,2000
MCC,0.2721493730083304,0.16375143962765226,0.40424081427700476,2000
accuracy,0.48186946011281223,0.3867125084137248,0.5779271088623605,2000
