protocol,n,n_studies,R2_rawET,R2_calET,R2_RF,R2_XGB,RF_advantage_R2,XGB_advantage_R2,RF_adv_CI95_lo,RF_adv_CI95_hi,XGB_adv_CI95_lo,XGB_adv_CI95_hi
V0_random,1183,52,-0.6962037946762885,0.2954634386233737,0.8409749086146256,0.8920473286446342,0.5455114699912519,0.5965838900212604,0.415935896818075,0.7024158738789957,0.469486022068748,0.7495768234654079
V1_by_study,1183,52,-0.6962037946762885,0.274587489503195,0.4039777475696221,0.3065030352513366,0.1293902580664271,0.0319155457481415,-0.0561031667982085,0.295752360045305,-0.195841114157598,0.2287157537553476
V2_by_alloy,1110,46,-0.7155797992606008,0.3200808843904212,0.4366980369487816,0.452536956703345,0.1166171525583603,0.1324560723129237,-0.0328607157108452,0.2493604656756609,-0.0391778919828771,0.3047853055131194
