feature,historical_manuscript_reference,reproduced_value,absolute_difference
Power,0.082,0.09051680564880371,0.008516805648803707
E (J/mm),0.08,0.07716827094554901,0.0028317290544509904
layer thickness,0.047,0.038198474794626236,0.008801525205373764
beam D,0.035,0.025119438767433167,0.009880561232566837
