scope,n,n_studies,R2_log,median_pct_error_all,median_pct_error_top25_by_disagreement,empirical_conformal90_coverage,median_conformal_halfwidth_log10,spearman_abslogerr_vs_ensemble_sd,spearman_abslogerr_vs_knn_distance
all_data_final_sanitized,1443,74,0.3752445988020793,43.47770385557617,29.925893361073918,0.8814968814968815,0.5487690318266418,0.28071410338750535,0.3561192565086843
PBF_only_final_sanitized,1372,67,0.31511035218752403,45.976288699933576,41.90369691500812,0.9088921282798834,0.5414388716958669,0.1937417158114108,0.16347472445334182
