protocol,model,n,n_studies,R2_log,MAE_log,median_pct_error,MAE_raw_um,R2_raw
V0_random,Ridge,1148,52,0.6301273966898283,0.16708968034601815,26.022980023458828,498.0056865383458,-8.469200385253346
V0_random,RF,1148,52,0.9468377619962554,0.052558647338119546,6.73578848012286,33.951464945732944,0.9970590407855521
V0_random,SVR,1148,52,0.9110895276013296,0.07154630358925206,10.258148290432882,134.89406887207366,0.6329606420330921
V0_random,XGB,1148,52,0.9634796948080241,0.04279020280799379,5.775293991161492,38.31057845089183,0.9900245821201468
V1_by_study,Ridge,1148,52,-3.8126976269948196,0.2922778958601362,30.54368252845992,70748927733.65387,-6.958301854933076e+17
V1_by_study,RF,1148,52,0.597794021419108,0.16688439982798645,24.82472782676773,297.59023496773176,0.1757211609723538
V1_by_study,SVR,1148,52,0.11908680130804561,0.2240929664537438,28.049036154453358,418.0098417440987,-0.11823699226762896
V1_by_study,XGB,1148,52,0.60684602203845,0.16795261528973035,25.98997466173428,308.08217946658243,0.2387346443391163
V2_by_alloy,Ridge,962,37,-4.2243433094553495,0.277485323564026,27.11877971058012,146055852580.7201,-2.0813418452655596e+18
V2_by_alloy,RF,962,37,0.6550496284252979,0.16499530652582783,28.675530237785658,322.37235595977023,0.2015698683027447
V2_by_alloy,SVR,962,37,0.15774623386294628,0.22247569854391672,30.134009526009795,422.381389521432,-0.038701919390319306
V2_by_alloy,XGB,962,37,0.7098925543182346,0.14812143011783668,25.934821537506487,306.82649047087494,0.2536295562217833
